function name,function signature,stereotypes,filename,archive line number,file line number,class defined within
XmlTestTools::parseXml,xmlDocPtr XmlTestTools::parseXml(utl::TempFile& aTempFile),"non-void-command,collaborator,unclassified,execution_tester",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,21,20,
XmlTestTools::parseXmlStream,xmlDocPtr XmlTestTools::parseXmlStream(SvStream* pStream),"non-void-command,collaborator,unclassified,execution_tester",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,27,26,
XmlTestTools::getXPathNode,"xmlXPathObjectPtr XmlTestTools::getXPathNode(xmlDocPtr pXmlDoc, const OString& rXPath)","non-void-command,collaborator,unclassified,execution_tester,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,36,35,
XmlTestTools::registerNamespaces,void XmlTestTools::registerNamespaces(xmlXPathContextPtr& /*pXmlXpathCtx*/),"collaborator,empty,unclassified",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,45,44,
XmlTestTools::getXPath,"OUString XmlTestTools::getXPath(xmlDocPtr pXmlDoc, const OString& rXPath, const OString& rAttribute)","non-void-command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,49,48,
XmlTestTools::getXPathContent,"OUString XmlTestTools::getXPathContent(xmlDocPtr pXmlDoc, const OString& rXPath)","non-void-command,collaborator,boolean_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,65,64,
XmlTestTools::assertXPath,"void XmlTestTools::assertXPath(xmlDocPtr pXmlDoc, const OString& rXPath, const OString& rAttribute, const OUString& rExpectedValue)","command,collaborator,equality_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,79,78,
XmlTestTools::assertXPath,"void XmlTestTools::assertXPath(xmlDocPtr pXmlDoc, const OString& rXPath, int nNumberOfNodes)","command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,86,85,
XmlTestTools::assertXPathContent,"void XmlTestTools::assertXPathContent(xmlDocPtr pXmlDoc, const OString& rXPath, const OUString& rContent)","command,collaborator,equality_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,95,94,
XmlTestTools::assertXPathChildren,"void XmlTestTools::assertXPathChildren(xmlDocPtr pXmlDoc, const OString& rXPath, int nNumberOfChildNodes)","command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,100,99,
XmlTestTools::assertXPathNoAttribute,"void XmlTestTools::assertXPathNoAttribute(xmlDocPtr pXmlDoc, const OString& rXPath, const OString& rAttribute)","command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,118,117,
XmlTestTools::getXPathPosition,"int XmlTestTools::getXPathPosition(xmlDocPtr pXmlDoc, const OString& rXPath, const OUString& rChildName)","non-void-command,collaborator,equality_verifier,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/xmltesttools.cpp,130,129,
test::BootstrapFixture::setUp,void test::BootstrapFixture::setUp(),"command,collaborator,test_initializer,api_utility_verifier",sampleFiles/libreoffice-distrotech/cpp files/bootstrapfixture.cpp,114,113,
test::BootstrapFixture::tearDown,void test::BootstrapFixture::tearDown(),"command,collaborator,stateless,test_cleaner",sampleFiles/libreoffice-distrotech/cpp files/bootstrapfixture.cpp,121,120,
test::BootstrapFixture::validate,"void test::BootstrapFixture::validate(const OUString& rPath, test::ValidationFormat eFormat )","command,collaborator,equality_verifier,utility_verifier,hybrid_verifier,branch_verifier,api_utility_verifier,public_field_verifier",sampleFiles/libreoffice-distrotech/cpp files/bootstrapfixture.cpp,152,151,
UnoApiTest::setUp,void UnoApiTest::setUp(),"command,collaborator,boolean_verifier,test_initializer",sampleFiles/libreoffice-distrotech/cpp files/unoapi_test.cpp,25,24,
UnoApiTest::tearDown,void UnoApiTest::tearDown(),"command,collaborational-command,collaborator,stateless,test_cleaner",sampleFiles/libreoffice-distrotech/cpp files/unoapi_test.cpp,33,32,
UnoApiTest::createFileURL,"void UnoApiTest::createFileURL(const OUString& aFileBase, OUString& rFilePath)","command,collaborator,stateless,unclassified",sampleFiles/libreoffice-distrotech/cpp files/unoapi_test.cpp,38,37,
UnoApiTest::closeDocument,void UnoApiTest::closeDocument( uno::Reference< lang::XComponent > xDocument ),"command,collaborator,stateless,unclassified",sampleFiles/libreoffice-distrotech/cpp files/unoapi_test.cpp,43,42,
CalcUnoApiTest::setUp,void CalcUnoApiTest::setUp(),"command,collaborator,boolean_verifier,test_initializer",sampleFiles/libreoffice-distrotech/cpp files/calc_unoapi_test.cpp,21,20,
CalcUnoApiTest::tearDown,void CalcUnoApiTest::tearDown(),"command,collaborator,test_cleaner",sampleFiles/libreoffice-distrotech/cpp files/calc_unoapi_test.cpp,32,31,
quick_sanity_test,void quick_sanity_test(),"command,collaborator,boolean_verifier,api_utility_verifier,public_field_verifier",sampleFiles/No-Reference-Image-Quality-Assessment/test_computescore.cpp,18,17,test_computescore
testBasic,void testBasic(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/ephemeris_line_test.cpp,36,35,EphemerisLineTest
operator(),void operator()(),"command,collaborator,unclassified,execution_tester,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/socket_server_test.cpp,44,43,SocketServerTest::EchoServer
testEcho,void testEcho(),"command,collaborator,boolean_verifier,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/socket_server_test.cpp,63,62,SocketServerTest
testFind,void testFind(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/timetree_test.cpp,32,31,TimeTreeTest
setUp,void setUp(),"command,collaborator,test_initializer,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/jd_test.cpp,34,33,JdTest
tearDown,void tearDown(),"command,collaborator,test_cleaner,api_utility_verifier",sampleFiles/fr_demo-master/cpp files/jd_test.cpp,44,43,JdTest
testJd,void testJd(),"command,collaborator,boolean_verifier,api_utility_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/jd_test.cpp,51,50,JdTest
testTwoPoints,void testTwoPoints(),"command,collaborator,boolean_verifier,public_field_verifier",sampleFiles/fr_demo-master/cpp files/ephemeris_cache.cpp,32,31,EphemerisCacheTest
operator(),void operator()(EphemerisLine *value),"collaborator,unclassified",sampleFiles/fr_demo-master/cpp files/sp3_reader_test.cpp,32,31,Sp3ReaderTest::MyTimeTreeDeallocator
setUp,void setUp(),"command,collaborator,test_initializer",sampleFiles/fr_demo-master/cpp files/sp3_reader_test.cpp,51,50,Sp3ReaderTest
